Username	Password
==============================
90001	DigitalIUB123
40001	DigitalIUB123
40002	DigitalIUB123
40003	DigitalIUB123
40004	DigitalIUB123
40005	DigitalIUB123
40006	DigitalIUB123
40007	DigitalIUB123
40008	DigitalIUB123
40009	DigitalIUB123
40010	DigitalIUB123
190001	DigitalIUB123
190002	DigitalIUB123
190003	DigitalIUB123
190004	DigitalIUB123
190005	DigitalIUB123
190006	DigitalIUB123
190007	DigitalIUB123
190008	DigitalIUB123
190009	DigitalIUB123
190010	DigitalIUB123
190011	DigitalIUB123
190012	DigitalIUB123
190013	DigitalIUB123
190014	DigitalIUB123
190015	DigitalIUB123
190016	DigitalIUB123
190017	DigitalIUB123
190018	DigitalIUB123
190019	DigitalIUB123
190020	DigitalIUB123
190021	DigitalIUB123
190022	DigitalIUB123
190023	DigitalIUB123
190024	DigitalIUB123
190025	DigitalIUB123
190026	DigitalIUB123
190027	DigitalIUB123
190028	DigitalIUB123
190029	DigitalIUB123
190030	DigitalIUB123
50001	DigitalIUB123
50002	DigitalIUB123
50003	DigitalIUB123
50004	DigitalIUB123
50005	DigitalIUB123
90002	DigitalIUB123
90003	DigitalIUB123
90004	DigitalIUB123
in faculty dashboard, faculty side bar menu cannot fetch data from backend. Check the menu:
My Class, Assignment, Gradebook, Approval Request, Research.

this all pages have problem to ferch data
